split,specimen,qoi,time_h,parameter,method,index_type,value,ci_low,ci_high
50/50,C6,normalized_retention,0.0,alpha,morris,sigma,0.0,,
50/50,C6,normalized_retention,0.0,f_inf,sobol,first,,,
50/50,C6,normalized_retention,0.0,f_inf,sobol,total,,,
50/50,C6,normalized_retention,0.0,f_inf,morris,mu_star,0.0,,
50/50,C6,normalized_retention,0.0,f_inf,morris,sigma,0.0,,
50/50,C6,normalized_retention,11.428571428571429,k,sobol,first,0.27838757682173565,0.2110128985770957,0.3384608114891103
50/50,C6,normalized_retention,11.428571428571429,k,sobol,total,0.26737713840212146,0.236140508830644,0.29647945152218347
50/50,C6,normalized_retention,11.428571428571429,k,morris,mu_star,0.016349528939005695,,
50/50,C6,normalized_retention,11.428571428571429,k,morris,sigma,0.0038878925633343796,,
50/50,C6,normalized_retention,11.428571428571429,alpha,sobol,first,0.7256695991258961,0.6957971309722646,0.7567663885135882
50/50,C6,normalized_retention,11.428571428571429,alpha,sobol,total,0.7542115436805683,0.6842065335047719,0.828787194623713
50/50,C6,normalized_retention,11.428571428571429,alpha,morris,mu_star,0.024729503621454416,,
50/50,C6,normalized_retention,11.428571428571429,alpha,morris,sigma,0.0047024467213933946,,
50/50,C6,normalized_retention,11.428571428571429,f_inf,sobol,first,-0.04260180463990482,-0.12797585971781128,0.02327703726154012
50/50,C6,normalized_retention,11.428571428571429,f_inf,sobol,total,7.025150235547628e-14,6.164022588847319e-14,8.08180242845423e-14
50/50,C6,normalized_retention,11.428571428571429,f_inf,morris,mu_star,8.174542451278021e-09,,
50/50,C6,normalized_retention,11.428571428571429,f_inf,morris,sigma,2.361285900202026e-09,,
50/50,C6,normalized_retention,22.857142857142858,k,sobol,first,0.17617632759889357,0.10213935027393437,0.24278629548676378
50/50,C6,normalized_retention,22.857142857142858,k,sobol,total,0.17811818058670847,0.15561812468098335,0.19897425288528287
50/50,C6,normalized_retention,22.857142857142858,k,morris,mu_star,0.02658220174842247,,
50/50,C6,normalized_retention,22.857142857142858,k,morris,sigma,0.007942427210839383,,
50/50,C6,normalized_retention,22.857142857142858,alpha,sobol,first,0.8160617907358974,0.7962568595580951,0.8380658348555016
50/50,C6,normalized_retention,22.857142857142858,alpha,sobol,total,0.8597416528737261,0.7851892131647268,0.9428683031523675
50/50,C6,normalized_retention,22.857142857142858,alpha,morris,mu_star,0.05182217192199427,,
50/50,C6,normalized_retention,22.857142857142858,alpha,morris,sigma,0.010714285232290401,,
50/50,C6,normalized_retention,22.857142857142858,f_inf,sobol,first,-0.04854983200759211,-0.13161182275330802,0.020623020027774486
50/50,C6,normalized_retention,22.857142857142858,f_inf,sobol,total,4.9276241114616315e-14,4.304160807870976e-14,5.72579759043547e-14
50/50,C6,normalized_retention,22.857142857142858,f_inf,morris,mu_star,1.3468995785359538e-08,,
50/50,C6,normalized_retention,22.857142857142858,f_inf,morris,sigma,4.755107914488746e-09,,
50/50,C6,normalized_retention,34.285714285714285,k,sobol,first,0.13687875758610324,0.05998739493227642,0.20743750120618523
50/50,C6,normalized_retention,34.285714285714285,k,sobol,total,0.14412230051729535,0.1254173961086729,0.1621951722925666
50/50,C6,normalized_retention,34.285714285714285,k,morris,mu_star,0.034953507620199956,,
50/50,C6,normalized_retention,34.285714285714285,k,morris,sigma,0.011489992075804636,,
50/50,C6,normalized_retention,34.285714285714285,alpha,sobol,first,0.8507233851667106,0.8342442712724124,0.8696290670636472
50/50,C6,normalized_retention,34.285714285714285,alpha,sobol,total,0.8995758883002997,0.8220603453010085,0.9821692317884189
50/50,C6,normalized_retention,34.285714285714285,alpha,morris,mu_star,0.07696840349527026,,
50/50,C6,normalized_retention,34.285714285714285,alpha,morris,sigma,0.01655226322852039,,
50/50,C6,normalized_retention,34.285714285714285,f_inf,sobol,first,-0.05018968427054005,-0.1312361423140689,0.021608054582149334
50/50,C6,normalized_retention,34.285714285714285,f_inf,sobol,total,4.1559839312802596e-14,3.617724469171556e-14,4.83241582436283e-14
50/50,C6,normalized_retention,34.285714285714285,f_inf,morris,mu_star,1.797278785797829e-08,,
50/50,C6,normalized_retention,34.285714285714285,f_inf,morris,sigma,6.981482457021504e-09,,
50/50,C6,normalized_retention,45.714285714285715,k,sobol,first,0.11493647610297553,0.03657369380871938,0.18794390473695133
50/50,C6,normalized_retention,45.714285714285715,k,sobol,total,0.12517679248510588,0.10869145839592581,0.14155170508853088
50/50,C6,normalized_retention,45.714285714285715,k,morris,mu_star,0.04213753313126884,,
50/50,C6,normalized_retention,45.714285714285715,k,morris,sigma,0.014594483446137946,,
