split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
60/40,C2,T_0.80,f_inf,sobol,first,0.02817423356398896,-0.05349300805633359,0.11256199561127883
60/40,C2,T_0.80,f_inf,sobol,total,5.1983822156693836e-14,4.2311334770092053e-14,6.265055059233444e-14
60/40,C2,T_0.80,f_inf,morris,mu_star,0.00021647975815461962,,
60/40,C2,T_0.80,f_inf,morris,sigma,0.00027039517751146754,,
60/40,C3,T_0.80,k,sobol,first,0.14802047836402732,0.02554451824652323,0.2496188751001548
60/40,C3,T_0.80,k,sobol,total,0.20201474532519703,0.16214671323852584,0.262030557625702
60/40,C3,T_0.80,k,morris,mu_star,794.2172120705261,,
60/40,C3,T_0.80,k,morris,sigma,1061.5687568065669,,
60/40,C3,T_0.80,alpha,sobol,first,0.8495408197471133,0.816300098641963,0.8802240681347198
60/40,C3,T_0.80,alpha,sobol,total,0.9372514677918645,0.8185320779392674,1.073396231719103
60/40,C3,T_0.80,alpha,morris,mu_star,1663.1927112614776,,
60/40,C3,T_0.80,alpha,morris,sigma,1071.209204520021,,
60/40,C3,T_0.80,f_inf,sobol,first,-0.0005835618221248229,-0.10878348054229571,0.10932109066506729
60/40,C3,T_0.80,f_inf,sobol,total,2.1092095110884084e-12,1.6613321112522327e-12,2.6992472533717314e-12
60/40,C3,T_0.80,f_inf,morris,mu_star,0.001982233231836972,,
60/40,C3,T_0.80,f_inf,morris,sigma,0.003093458300807369,,
60/40,C4,T_0.80,k,sobol,first,0.0993952302445753,-0.037261573627957414,0.20577356378688488
60/40,C4,T_0.80,k,sobol,total,0.11284666758182264,0.09182335258932299,0.13525916772509436
60/40,C4,T_0.80,k,morris,mu_star,232.8877853888216,,
60/40,C4,T_0.80,k,morris,sigma,287.8706869755907,,
60/40,C4,T_0.80,alpha,sobol,first,0.8925564649750022,0.8674661974457961,0.9149357436035639
60/40,C4,T_0.80,alpha,sobol,total,0.9427419630856203,0.842458105791695,1.0556590506926462
60/40,C4,T_0.80,alpha,morris,mu_star,1040.9305125727888,,
60/40,C4,T_0.80,alpha,morris,sigma,695.2243693543678,,
60/40,C4,T_0.80,f_inf,sobol,first,-0.010174747101460158,-0.103763842563873,0.07208196728763538
60/40,C4,T_0.80,f_inf,sobol,total,3.9132757458759266e-14,2.844699547396522e-14,4.9750821098689756e-14
60/40,C4,T_0.80,f_inf,morris,mu_star,0.00016899361177422634,,
60/40,C4,T_0.80,f_inf,morris,sigma,0.0001496843273619604,,
60/40,C5,T_0.80,k,sobol,first,0.06738199078261353,-0.035049644637124136,0.16312296615083008
60/40,C5,T_0.80,k,sobol,total,0.08310472351786177,0.06393390557608768,0.10087394878351184
60/40,C5,T_0.80,k,morris,mu_star,415.4754448073424,,
60/40,C5,T_0.80,k,morris,sigma,402.68538203023206,,
60/40,C5,T_0.80,alpha,sobol,first,0.9005272066108523,0.880550961776593,0.921826862166607
60/40,C5,T_0.80,alpha,sobol,total,0.8548502586963816,0.7526309084408688,0.967004801148973
60/40,C5,T_0.80,alpha,morris,mu_star,1128.7925203940208,,
60/40,C5,T_0.80,alpha,morris,sigma,671.3317218552575,,
60/40,C5,T_0.80,f_inf,sobol,first,0.06722934625000254,-0.020881972807068508,0.15282460854434177
60/40,C5,T_0.80,f_inf,sobol,total,8.442637928737048e-14,6.627683197911721e-14,1.0575982415967824e-13
60/40,C5,T_0.80,f_inf,morris,mu_star,0.0004023711013594777,,
60/40,C5,T_0.80,f_inf,morris,sigma,0.0003854791848189931,,
60/40,C6,T_0.80,k,sobol,first,0.09993783215176333,0.01219807632358422,0.19203718702995873
60/40,C6,T_0.80,k,sobol,total,0.10453816155835079,0.08316383167959376,0.12339033501254593
60/40,C6,T_0.80,k,morris,mu_star,140.46248363303152,,
60/40,C6,T_0.80,k,morris,sigma,124.41814617601258,,
60/40,C6,T_0.80,alpha,sobol,first,0.8715392425042927,0.8438780846423731,0.8921794471169283
60/40,C6,T_0.80,alpha,sobol,total,0.9526571877498343,0.8377099322423449,1.068920926157813
60/40,C6,T_0.80,alpha,morris,mu_star,324.4464651752639,,
60/40,C6,T_0.80,alpha,morris,sigma,184.6691451283966,,
60/40,C6,T_0.80,f_inf,sobol,first,0.02562708292199567,-0.05845588614942375,0.11931658281901841
60/40,C6,T_0.80,f_inf,sobol,total,3.038614510770559e-14,2.4930216243642666e-14,3.851731911941751e-14
60/40,C6,T_0.80,f_inf,morris,mu_star,7.959926677738593e-05,,
60/40,C6,T_0.80,f_inf,morris,sigma,5.9795415259148505e-05,,
60/40,C7,T_0.80,k,sobol,first,0.062083023071578536,-0.05071370107746417,0.18220967066199292
60/40,C7,T_0.80,k,sobol,total,0.18519332083123427,0.15033180419095532,0.232889650121577
60/40,C7,T_0.80,k,morris,mu_star,370.25836064349846,,
60/40,C7,T_0.80,k,morris,sigma,309.67842842349006,,
60/40,C7,T_0.80,alpha,sobol,first,0.7961656274928347,0.7462142416181657,0.8436381519103093
60/40,C7,T_0.80,alpha,sobol,total,1.0374608280872524,0.8975253590913018,1.1741241363135442
60/40,C7,T_0.80,alpha,morris,mu_star,1003.8014517690906,,
60/40,C7,T_0.80,alpha,morris,sigma,814.7309393714152,,
60/40,C7,T_0.80,f_inf,sobol,first,-0.028510444943655067,-0.09807798411600283,0.03844520345160396
60/40,C7,T_0.80,f_inf,sobol,total,7.336703381708387e-14,5.894114947805496e-14,9.232477580217605e-14
60/40,C7,T_0.80,f_inf,morris,mu_star,0.0003346323127534134,,
60/40,C7,T_0.80,f_inf,morris,sigma,0.00038650801352284553,,
60/40,C8,T_0.80,k,sobol,first,0.042661212622584044,-0.07515556711212115,0.1533456058385353
